Team Name,Age Group,Color,Gender,League,Team ID,League ID,Fixtures URL,Results URL,Table URL
"Scawthorpe Scorpions J.F.C. Scawthorpe S","Senior","","Boys","Sheffield & Hallamshire FA County Cups","511705732","446340283","https://fulltime.thefa.com/DisplayFixtures.do?teamID=511705732&league=446340283","https://fulltime.thefa.com/DisplayResults.do?teamID=511705732&league=446340283","https://fulltime.thefa.com/DisplayLeagueTable.do?league=446340283"
"Scawthorpe Scorpions J.F.C. Scawthorpe S","Senior","","Boys","Sheffield & Hallamshire Women & Girls League","499942636","6066158","https://fulltime.thefa.com/DisplayFixtures.do?teamID=499942636&league=6066158","https://fulltime.thefa.com/DisplayResults.do?teamID=499942636&league=6066158","https://fulltime.thefa.com/DisplayLeagueTable.do?league=6066158"
"Scawthorpe Scorpions J.F.C. U10 Red","U10","Red","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","888762707","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=888762707&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=888762707&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U11 Blue","U11","Blue","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","489333434","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=489333434&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=489333434&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U11 girls Or","U11","","Girls","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","171539866","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=171539866&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=171539866&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U11 Pink","U11","Pink","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","480937210","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=480937210&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=480937210&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U11 Red","U11","Red","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","485868691","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=485868691&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=485868691&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U12 Girls","U12","","Girls","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","847549540","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=847549540&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=847549540&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U12 Red","U12","Red","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","563868205","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=563868205&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=563868205&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U13","U13","","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","598735408","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=598735408&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=598735408&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U13","U13","","Boys","Sheffield & Hallamshire FA County Cups","718945801","446340283","https://fulltime.thefa.com/DisplayFixtures.do?teamID=718945801&league=446340283","https://fulltime.thefa.com/DisplayResults.do?teamID=718945801&league=446340283","https://fulltime.thefa.com/DisplayLeagueTable.do?league=446340283"
"Scawthorpe Scorpions J.F.C. U13 Black","U13","Black","Boys","Sheffield & Hallamshire FA County Cups","942586386","446340283","https://fulltime.thefa.com/DisplayFixtures.do?teamID=942586386&league=446340283","https://fulltime.thefa.com/DisplayResults.do?teamID=942586386&league=446340283","https://fulltime.thefa.com/DisplayLeagueTable.do?league=446340283"
"Scawthorpe Scorpions J.F.C. U13 Girls","U13","","Girls","Sheffield & Hallamshire FA County Cups","480456864","446340283","https://fulltime.thefa.com/DisplayFixtures.do?teamID=480456864&league=446340283","https://fulltime.thefa.com/DisplayResults.do?teamID=480456864&league=446340283","https://fulltime.thefa.com/DisplayLeagueTable.do?league=446340283"
"Scawthorpe Scorpions J.F.C. U13 Girls","U13","","Girls","Sheffield & Hallamshire Women & Girls League","206159523","6066158","https://fulltime.thefa.com/DisplayFixtures.do?teamID=206159523&league=6066158","https://fulltime.thefa.com/DisplayResults.do?teamID=206159523&league=6066158","https://fulltime.thefa.com/DisplayLeagueTable.do?league=6066158"
"Scawthorpe Scorpions J.F.C. U14 Girls","U14","","Girls","Sheffield & Hallamshire Women & Girls League","256179332","6066158","https://fulltime.thefa.com/DisplayFixtures.do?teamID=256179332&league=6066158","https://fulltime.thefa.com/DisplayResults.do?teamID=256179332&league=6066158","https://fulltime.thefa.com/DisplayLeagueTable.do?league=6066158"
"Scawthorpe Scorpions J.F.C. U14 Girls Bl","U14","","Girls","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","733758577","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=733758577&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=733758577&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U15 Red","U15","Red","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","217518884","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=217518884&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=217518884&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U16","U16","","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","379271952","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=379271952&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=379271952&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U16","U16","","Boys","Sheffield & Hallamshire FA County Cups","691128330","446340283","https://fulltime.thefa.com/DisplayFixtures.do?teamID=691128330&league=446340283","https://fulltime.thefa.com/DisplayResults.do?teamID=691128330&league=446340283","https://fulltime.thefa.com/DisplayLeagueTable.do?league=446340283"
"Scawthorpe Scorpions J.F.C. U16 Girls","U16","","Girls","Sheffield & Hallamshire FA County Cups","218806227","446340283","https://fulltime.thefa.com/DisplayFixtures.do?teamID=218806227&league=446340283","https://fulltime.thefa.com/DisplayResults.do?teamID=218806227&league=446340283","https://fulltime.thefa.com/DisplayLeagueTable.do?league=446340283"
"Scawthorpe Scorpions J.F.C. U16 Girls","U16","","Girls","Sheffield & Hallamshire Women & Girls League","395474278","6066158","https://fulltime.thefa.com/DisplayFixtures.do?teamID=395474278&league=6066158","https://fulltime.thefa.com/DisplayResults.do?teamID=395474278&league=6066158","https://fulltime.thefa.com/DisplayLeagueTable.do?league=6066158"
"Scawthorpe Scorpions J.F.C. U18","U18","","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","403008395","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=403008395&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=403008395&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U18 Blue","U18","Blue","Boys","Sheffield & Hallamshire Women & Girls League","218284156","6066158","https://fulltime.thefa.com/DisplayFixtures.do?teamID=218284156&league=6066158","https://fulltime.thefa.com/DisplayResults.do?teamID=218284156&league=6066158","https://fulltime.thefa.com/DisplayLeagueTable.do?league=6066158"
"Scawthorpe Scorpions J.F.C. U7 Blue","U7","Blue","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","661020044","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=661020044&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=661020044&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
"Scawthorpe Scorpions J.F.C. U7 Red","U7","Red","Boys","Doncaster & District Youth Football League Sponsored by Doncaster Rovers FC","934782069","8057112","https://fulltime.thefa.com/DisplayFixtures.do?teamID=934782069&league=8057112","https://fulltime.thefa.com/DisplayResults.do?teamID=934782069&league=8057112","https://fulltime.thefa.com/DisplayLeagueTable.do?league=8057112"
